"id"	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"	"MUT1"	"MUT2"	"MUT3"	"MUT4"	"WT1"	"WT2"	"WT3"	"WT4"
"Aasdhppt"	531.558857190763	549.736177868685	513.38153651284	0.933868930553578	-0.0987080144486332	0.231550524643083	1	535.709222278613	501.579135463593	474.942318469994	541.295469839162	558.851186177111	524.099329551442	572.568680306144	543.425515440043
"Aass"	25.9110480350428	26.5565103183184	25.2655857517673	0.951389525540911	-0.0718919530570061	0.857958994155054	1	22.918041594807	28.7529440711614	25.7633804830421	23.6279768580587	35.7256466049294	38.2478800658844	9.68813333851343	22.5643812639464
"Aatf"	480.906144941978	477.549886390907	484.26240349305	1.01405615893425	0.0201375517223478	0.831306879590472	1	505.151833485537	506.90375473603	476.062465447518	448.931560303115	512.918211970773	457.940834302345	480.531413590266	458.809085700244
"Aatk"	48.7115784566409	48.546604519174	48.8765523941078	1.00679651807169	0.00977213217033942	1	1	41.0614911906958	54.3111165788603	58.2476428312257	41.8859589756494	59.5427443415491	60.9898628077615	42.6277866894591	31.0260242379263
"Abat"	661.169654576121	680.081638729546	642.257670422696	0.944383194380151	-0.0825557263408627	0.25053499022803	1	624.51663345849	657.058018218761	645.204659053577	642.251370959958	717.064763998941	668.821037908843	647.167307012697	687.273445997702
"Abca1"	422.977506600462	468.312614141756	377.642399059169	0.806389551883517	-0.31045114843977	0.0586341428900196	1	306.528806330543	352.489795835348	361.807473740113	489.74352033067	443.168140027815	533.402867945847	404.963973549862	491.715475043499
"Abca2"	581.672911038741	550.222892970372	613.122929107111	1.11431737381404	0.156160191759543	0.0495607030808529	1	592.049407865846	666.642332909148	613.840543682917	579.959431970531	566.506681878167	563.380936105594	545.441906958306	525.562046939419
"Abca3"	460.159164175575	438.786604257333	481.531724093817	1.09741664723068	0.134111366007886	0.334034176019381	1	565.311692671905	450.462790448195	433.496880301622	476.855532953548	530.781035273238	418.659227748194	380.743640203578	424.962513804324
"Abca4"	15.8750075697876	15.8970222596613	15.8529928799139	0.997230337919376	-0.00400132146422323	1	1	20.0532863954561	12.7790862538495	12.3216167527593	18.2579821175908	17.8628233024647	10.3372648826714	20.3450800108782	15.042920842631
"Abca5"	276.640818459084	294.113249223283	259.168387694885	0.881185694215808	-0.182482021377665	0.0809877404871148	1	269.286988738982	232.153400278266	269.955421583181	265.277740179113	294.311279173943	285.308510761732	311.957893500133	284.875313457324
"Abca7"	159.744503117162	155.593049691922	163.895956542401	1.05336296747778	0.0750026454329786	0.6125818990963	1	154.696780764947	161.868425882094	173.622781516153	165.395838006411	157.36296718838	141.620528892599	157.916573417769	165.472129268941
"Abca9"	75.5018881799793	98.2935041431633	52.7102722167952	0.536253872280546	-0.899011934559989	0.358787341893055	1	33.4221439924268	105.427461594258	26.8835274605657	45.1079558199302	90.1647271457743	223.284921465703	57.1599866972293	22.5643812639464
"Abcb10"	432.869149454135	439.228838797612	426.509460110658	0.971041567485017	-0.0423950403130037	0.606080292595264	1	389.606707111718	414.255379395621	443.578203099334	458.597550835957	430.408980526055	454.839654837544	417.558546889929	454.108172936922
"Abcb6"	294.434079464973	298.299352650243	290.568806279702	0.974084602256563	-0.0378810146173222	0.700941156025504	1	281.700927936169	313.087613219313	296.838949043746	270.647734919581	296.863111074295	293.578322667869	289.675186821552	313.080790037257
"Abcb7"	721.036653870033	732.979581677079	709.093726062986	0.967412658945503	-0.0477966787922253	0.585434368374897	1	788.762598221273	704.979591670697	681.049362334331	661.583352025643	688.144002461617	706.03519148646	781.832360418034	755.906772342205
"Abcb8"	395.84540004528	385.331298855257	406.359501235304	1.05457174759101	0.076657251957145	0.399018547502261	1	405.84031990804	403.606140850746	411.093940751151	404.897603431278	387.027838220069	391.782339053248	382.681266871281	379.833751276432
