"MUT1"	"MUT2"	"MUT3"	"MUT4"	"WT1"	"WT2"	"WT3"	"WT4"
"Ace"	13.3688575969707	18.1037055262868	15.68205768533	7.51799263665503	8.50610633450701	21.70825625361	8.71932000466209	5.64109531598661
"Ace2"	707.594534239665	652.798322800812	492.864670110371	544.517466683443	802.976437977462	641.944149213897	561.911733633779	372.312290855116
"Acer2"	204.352537553695	184.23182682633	115.375138684928	165.395838006411	178.628233024647	140.586802404332	123.039293399121	132.565739925685
"Acer3"	184.299251158239	175.71243599043	164.661605695965	198.689805397311	197.341666960563	197.441759259025	186.980973433309	162.651581610947
"Acin1"	3030.91100091322	3128.74628448415	2979.5909602127	3159.7049052913	3088.5672100595	3068.10021717689	2942.28609490653	3238.92889392898
"Acly"	3560.89071279313	3952.99734785744	3829.78251615309	3923.31815738583	3598.93359012992	3705.90946043771	3703.77337531369	3709.96035281386
"Aco1"	1379.85708768734	1324.7652749824	1467.39254055588	1360.75666723456	1394.1508282257	1351.08052016516	1371.8396807335	1296.51174012426
"Aco2"	2278.43530188373	2585.63511869555	2527.05158129318	2518.52753327943	2610.5240340602	2388.94191438537	2498.56958800261	2328.8321829498
"Acot1"	218.67631355045	220.439237878904	225.149542482238	210.503793826341	217.756322163379	227.419827418772	257.704346804457	227.524177744793
"Acot11"	72.5737983835554	81.9991367955342	59.3677898087493	98.8079032246089	92.7165590461264	98.2040163853788	74.5986267065534	121.283549293712
"Acot13"	130.823820770356	173.582588281456	136.657931257876	114.917887446013	192.238003159858	206.745297653429	161.791826753174	130.685374820356
"Acot2"	122.229555172304	97.9729946128461	115.375138684928	123.509879030761	132.695258818309	120.945999127256	129.82098673608	109.061176109074
"Acot6"	40.1065727909122	35.1424871980861	33.6044093257071	38.6639621313687	40.8293104056337	40.3153330424186	37.7837200202024	38.5474846592418
"Acot7"	350.45505272059	375.918120634073	341.644828144689	396.305611846529	322.381430077816	360.770544405234	329.396533509457	361.030100223143
"Acot8"	72.5737983835554	69.2200505416847	63.8483777188435	70.883930574176	85.0610633450701	81.6643925731044	73.6298133727021	72.3940565551615
"Acot9"	175.704985560187	193.816141516717	162.421311740918	178.283825383534	222.009375330633	226.386100930505	201.513173441079	205.899979033511
"Acox1"	615.922367860437	594.227510804001	591.437604132445	563.849447749127	612.439656084505	587.156645335738	578.381560309252	591.374825625929
"Acox3"	162.336127963216	144.829644210294	161.301164763394	208.355795930154	165.869073522887	157.126426216606	179.230466762499	157.950668847625
"Acoxl"	21.9631231950233	21.2984770897492	22.4029395504714	20.4059800137779	9.35671696795771	12.4047178592057	19.3762666770269	16.9232859479598
"Acp1"	1415.18906847933	1374.81669614331	1310.57196370258	1367.20066092312	1400.10510265985	1310.76518712274	1428.03085409688	1307.79393075623
"Acp2"	592.049407865846	575.058881423227	623.921866480629	645.473367804239	589.473168981336	548.908765269854	598.72664032013	585.733730309943
"Acp6"	177.614822359754	206.595227770567	151.219841965682	196.541807501124	158.21357782183	175.733503005415	187.949786767161	196.498153506867
"Acrbp"	45.8360831896139	40.4671064705234	61.6080837637964	59.0699421451467	47.6341954732393	44.4502389954872	37.7837200202024	68.6333263445037
"Acsbg1"	36.2868991917777	33.0126394891112	63.8483777188435	47.2559537161173	51.0366380070421	34.1129741128158	44.5654133571618	43.248397422564
"Acsf2"	678.946982246156	802.952586283543	785.223031244023	744.281271028848	757.894074404575	708.102644462994	792.489307090399	716.419105130299
"Acsf3"	163.291046363	154.413958900681	183.704104313866	156.803846421662	148.006250220422	178.834682470216	146.290813411553	166.412311821605
"Acsl1"	209.127129552614	190.621369953255	209.467484796908	215.873788566809	230.51548166514	238.79081878971	233.484013458174	192.737423296209
"Acsl3"	1618.58668763324	1550.52913213374	1757.51060773448	1531.52249998144	1329.50442008345	1330.40599039982	1424.15560076147	1505.23226681576
"Acsl4"	745.79127023101	835.965225772654	803.1453828844	788.315227900684	702.604383230279	708.102644462994	751.799147068642	769.069328079507
"Acsl5"	764.889638226682	736.927307305321	695.611273042138	706.691307845573	743.433693635913	717.406182857398	688.826280368305	665.64924728642
"Acss1"	43.9262463900467	51.116345015398	63.8483777188435	69.8099316260824	52.7378592739435	68.2259482256316	67.816933369594	53.5904055018728
"Acss2"	77.3483903824735	89.4536037769464	108.654256819786	80.5499211070182	78.2561782774645	85.799298526173	85.2555733789182	72.3940565551615
"Acss3"	27.6926335937251	35.1424871980861	43.6857321234193	50.477950560398	41.6799210390844	34.1129741128158	45.5342266910131	29.1456591325975
"Acta1"	10.5041023976199	194.881065371205	0	18.2579821175908	57.8415230746477	296.679502132671	10.6569466723648	2.8205476579933
"Acta2"	118.409881573169	215.114618606466	106.413962864739	131.027871667416	215.204490263027	478.615364067688	170.511146757836	117.522819083054
"Actb"	19599.7001555589	18966.2938484216	18899.1198047777	19237.4691582521	20036.1334709313	19175.6263573555	19780.2618372429	19781.4409080597
"Actc1"	84.0328191809589	347.165176562911	59.3677898087493	139.619863252165	157.36296718838	783.564678106496	104.631840055945	62.0520484758527
"Actg1"	22099.6765261924	22450.7247003046	23508.5246172872	23738.5987497123	23136.6092298591	22751.2862802716	23705.8934660085	23846.7902657807
"Actl6a"	1649.14407642632	1728.37141583314	1766.47178355467	1659.32837480457	1615.30959292288	1675.67063748104	1634.38809420722	1571.04504550227
"Actn1"	1708.3490172129	1794.39669481137	1592.84900203852	1617.44241582892	1733.54447097253	1613.64704818501	1739.98874759701	1710.19206329661
"Actn2"	12.4139391971871	124.596090975033	5.60073488761785	16.1099842214036	24.6677083700703	200.542938723826	18.4074533431755	14.1027382899665
"Actn3"	194.803353555859	227.893704860316	318.121741616694	335.087671805196	198.192277594013	268.768886949458	356.523306857294	285.815496009988
"Actn4"	3429.11197362299	3632.45526765672	3453.41313170517	3419.61265072994	3661.87877700527	3610.80662351714	3645.64457528261	3615.94209754742
"Actr10"	811.68063981608	834.900301918167	818.82744056973	763.613252094532	830.195978247884	855.925532285196	854.493360456885	799.155169764769
"Actr1a"	1435.24235487479	1496.21801555488	1459.55151171321	1359.68266828647	1452.8429619338	1422.40764785559	1393.15357407823	1321.8966690462
"Actr1b"	1305.37345250421	1260.86984371315	1345.29652000581	1303.8347229856	1207.8670995	1263.21376866245	1256.55089400519	1252.32316014903
"Actr2"	4261.80081823431	4091.43744894081	4143.42366985969	4161.74592386261	4199.46469734611	4326.145353398	4280.21730895524	4172.53016872476
"Actr3"	3612.45630638145	3517.44349137207	3355.96034466062	3663.41041194719	3621.04946659963	3817.55192117057	3646.61338861646	3698.67816218189
"Actr3b"	36.2868991917777	37.272334907061	29.1238214156128	27.923972650433	39.1280891387322	36.1804270893501	22.2827066785809	28.205476579933
"Actr5"	135.598412769275	150.154263482732	146.739254055588	160.025843265943	149.707471487323	137.48562293953	143.384373409999	158.890851400289
"Actr6"	257.827967941578	254.516801222502	262.114392740516	220.169784359183	258.585632569013	240.858271766245	248.985026799795	260.430567088048
"Actr8"	455.496076696788	482.410506082818	440.217762166763	474.70753505736	444.018750661266	449.671022396208	426.277866894591	412.740140619687
